230,Hyperstudio,application/hyperstudio,.stk,IANA - Hyperstudio
231,Hypertext Application Language,application/vnd.hal+xml,.hal,IANA: HAL
232,HyperText Markup Language (HTML),text/html,.html,Wikipedia: HTML
233,IBM DB2 Rights Manager,application/vnd.ibm.rights-management,.irm,IANA: IBM DB2 Rights Manager
234,IBM Electronic Media Management System - Secure Container,application/vnd.ibm.secure-container,.sc,IANA: EMMS
235,iCalendar,text/calendar,.ics,Wikipedia: iCalendar
236,ICC profile,application/vnd.iccprofile,.icc,IANA: ICC profile
237,Icon Image,image/x-icon,.ico,Wikipedia: ICO File Format
238,igLoader,application/vnd.igloader,.igl,IANA: igLoader
239,Image Exchange Format,image/ief,.ief,RFC 1314
240,ImmerVision PURE Players,application/vnd.immervision-ivp,.ivp,IANA: ImmerVision PURE Players
241,ImmerVision PURE Players,application/vnd.immervision-ivu,.ivu,IANA: ImmerVision PURE Players
242,IMS Networks,application/reginfo+xml,.rif,
243,In3D - 3DML,text/vnd.in3d.3dml,.3dml,IANA: In3D
244,In3D - 3DML,text/vnd.in3d.spot,.spot,IANA: In3D
245,Initial Graphics Exchange Specification (IGES),model/iges,.igs,Wikipedia: IGES
246,Interactive Geometry Software,application/vnd.intergeo,.i2g,IANA: Interactive Geometry Software
247,Interactive Geometry Software Cinderella,application/vnd.cinderella,.cdy,IANA: Cinderella
248,Intercon FormNet,application/vnd.intercon.formnet,.xpw,IANA: Intercon FormNet
249,International Society for Advancement of Cytometry,application/vnd.isac.fcs,.fcs,IANA: International Society for Advancement of Cytometry
250,Internet Protocol Flow Information Export,application/ipfix,.ipfix,RFC 3917
251,Internet Public Key Infrastructure - Certificate,application/pkix-cert,.cer,RFC 2585
252,Internet Public Key Infrastructure - Certificate Management Protocole,application/pkixcmp,.pki,RFC 2585
253,Internet Public Key Infrastructure - Certificate Revocation Lists,application/pkix-crl,.crl,RFC 2585
254,Internet Public Key Infrastructure - Certification Path,application/pkix-pkipath,.pkipath,RFC 2585
255,IOCOM Visimeet,application/vnd.insors.igm,.igm,IANA: IOCOM Visimeet
256,IP Unplugged Roaming Client,application/vnd.ipunplugged.rcprofile,.rcprofile,IANA: IP Unplugged Roaming Client
257,iRepository / Lucidoc Editor,application/vnd.irepository.package+xml,.irp,IANA: iRepository / Lucidoc Editor
258,J2ME App Descriptor,text/vnd.sun.j2me.app-descriptor,.jad,IANA: J2ME App Descriptor
259,Java Archive,application/java-archive,.jar,Wikipedia: JAR file format
260,Java Bytecode File,application/java-vm,.class,Wikipedia: Java Bytecode
261,Java Network Launching Protocol,application/x-java-jnlp-file,.jnlp,Wikipedia: Java Web Start
262,Java Serialized Object,application/java-serialized-object,.ser,Java Serialization API
263,Java Source File,"text/x-java-source,java",.java,Wikipedia: Java
264,JavaScript,application/javascript,.js,JavaScript
265,JavaScript Object Notation (JSON),application/json,.json,Wikipedia: JSON
266,Joda Archive,application/vnd.joost.joda-archive,.joda,IANA: Joda Archive
267,JPEG 2000 Compound Image File Format,video/jpm,.jpm,IANA: JPM
268,JPEG Image,image/jpeg,".jpeg, .jpg",RFC 1314
269,JPEG Image (Citrix client),image/x-citrix-jpeg,".jpeg, .jpg",RFC 1314
270,JPEG Image (Progressive),image/pjpeg,.pjpeg,JPEG image compression FAQ
271,JPGVideo,video/jpeg,.jpgv,RFC 3555
272,Kahootz,application/vnd.kahootz,.ktz,IANA: Kahootz
273,Karaoke on Chipnuts Chipsets,application/vnd.chipnuts.karaoke-mmd,.mmd,IANA: Chipnuts Karaoke
274,KDE KOffice Office Suite - Karbon,application/vnd.kde.karbon,.karbon,IANA: KDE KOffice Office Suite
275,KDE KOffice Office Suite - KChart,application/vnd.kde.kchart,.chrt,IANA: KDE KOffice Office Suite
276,KDE KOffice Office Suite - Kformula,application/vnd.kde.kformula,.kfo,IANA: KDE KOffice Office Suite
277,KDE KOffice Office Suite - Kivio,application/vnd.kde.kivio,.flw,IANA: KDE KOffice Office Suite
278,KDE KOffice Office Suite - Kontour,application/vnd.kde.kontour,.kon,IANA: KDE KOffice Office Suite
279,KDE KOffice Office Suite - Kpresenter,application/vnd.kde.kpresenter,.kpr,IANA: KDE KOffice Office Suite
280,KDE KOffice Office Suite - Kspread,application/vnd.kde.kspread,.ksp,IANA: KDE KOffice Office Suite
281,KDE KOffice Office Suite - Kword,application/vnd.kde.kword,.kwd,IANA: KDE KOffice Office Suite
282,Kenamea App,application/vnd.kenameaapp,.htke,IANA: Kenamea App
283,Kidspiration,application/vnd.kidspiration,.kia,IANA: Kidspiration
284,Kinar Applications,application/vnd.kinar,.kne,IANA: Kina Applications
285,Kodak Storyshare,application/vnd.kodak-descriptor,.sse,IANA: Kodak Storyshare
286,Laser App Enterprise,application/vnd.las.las+xml,.lasxml,IANA: Laser App Enterprise
287,LaTeX,application/x-latex,.latex,Wikipedia: LaTeX
288,Life Balance - Desktop Edition,application/vnd.llamagraphics.life-balance.desktop,.lbd,IANA: Life Balance
289,Life Balance - Exchange Format,application/vnd.llamagraphics.life-balance.exchange+xml,.lbe,IANA: Life Balance
290,Lightspeed Audio Lab,application/vnd.jam,.jam,IANA: Lightspeed Audio Lab
291,Lotus 1-2-3,application/vnd.lotus-1-2-3,0.123,IANA: Lotus 1-2-3
292,Lotus Approach,application/vnd.lotus-approach,.apr,IANA: Lotus Approach
293,Lotus Freelance,application/vnd.lotus-freelance,.pre,IANA: Lotus Freelance
294,Lotus Notes,application/vnd.lotus-notes,.nsf,IANA: Lotus Notes
295,Lotus Organizer,application/vnd.lotus-organizer,.org,IANA: Lotus Organizer
296,Lotus Screencam,application/vnd.lotus-screencam,.scm,IANA: Lotus Screencam
297,Lotus Wordpro,application/vnd.lotus-wordpro,.lwp,IANA: Lotus Wordpro
298,Lucent Voice,audio/vnd.lucent.voice,.lvp,IANA: Lucent Voice
299,M3U (Multimedia Playlist),audio/x-mpegurl,.m3u,Wikipedia: M3U
300,M4v,video/x-m4v,.m4v,Wikipedia: M4v
301,Macintosh BinHex 4.0,application/mac-binhex40,.hqx,MacMIME
302,MacPorts Port System,application/vnd.macports.portpkg,.portpkg,IANA: MacPorts Port System
303,MapGuide DBXML,application/vnd.osgeo.mapguide.package,.mgp,IANA: MapGuide DBXML
304,MARC Formats,application/marc,.mrc,RFC 2220
305,MARC21 XML Schema,application/marcxml+xml,.mrcx,RFC 6207
306,Material Exchange Format,application/mxf,.mxf,RFC 4539
307,Mathematica Notebook Player,application/vnd.wolfram.player,.nbp,IANA: Mathematica Notebook Player
308,Mathematica Notebooks,application/mathematica,.ma,IANA - Mathematica
309,Mathematical Markup Language,application/mathml+xml,.mathml,W3C Math Home
310,Mbox database files,application/mbox,.mbox,RFC 4155
311,MedCalc,application/vnd.medcalcdata,.mc1,IANA: MedCalc
312,Media Server Control Markup Language,application/mediaservercontrol+xml,.mscml,RFC 5022
313,MediaRemote,application/vnd.mediastation.cdkey,.cdkey,IANA: MediaRemote
314,Medical Waveform Encoding Format,application/vnd.mfer,.mwf,IANA: Medical Waveform Encoding Format
315,Melody Format for Mobile Platform,application/vnd.mfmp,.mfm,IANA: Melody Format for Mobile Platform
316,Mesh Data Type,model/mesh,.msh,RFC 2077
317,Metadata Authority Description Schema,application/mads+xml,.mads,RFC 6207
318,Metadata Encoding and Transmission Standard,application/mets+xml,.mets,RFC 6207
319,Metadata Object Description Schema,application/mods+xml,.mods,RFC 6207
320,Metalink,application/metalink4+xml,.meta4,Wikipedia: Metalink
321,Micro CADAM Helix D&D,application/vnd.mcd,.mcd,IANA: Micro CADAM Helix D&D
322,Micrografx,application/vnd.micrografx.flo,.flo,IANA: Micrografx
323,Micrografx iGrafx Professional,application/vnd.micrografx.igx,.igx,IANA: Micrografx
324,MICROSEC e-Szign¢,application/vnd.eszigno3+xml,.es3,IANA: MICROSEC e-Szign¢
325,Microsoft Access,application/x-msaccess,.mdb,Wikipedia: Microsoft Access
326,Microsoft Advanced Systems Format (ASF),video/x-ms-asf,.asf,Wikipedia: Advanced Systems Format (ASF)
327,Microsoft Application,application/x-msdownload,.exe,Wikipedia: EXE
328,Microsoft Artgalry,application/vnd.ms-artgalry,.cil,IANA: MS Artgalry
329,Microsoft Cabinet File,application/vnd.ms-cab-compressed,.cab,IANA: MS Cabinet File
330,Microsoft Class Server,application/vnd.ms-ims,.ims,IANA: MS Class Server
331,Microsoft ClickOnce,application/x-ms-application,.application,Wikipedia: ClickOnce
332,Microsoft Clipboard Clip,application/x-msclip,.clp,Wikipedia: Clipboard
333,Microsoft Document Imaging Format,image/vnd.ms-modi,.mdi,Wikipedia: Microsoft Document Image Format
334,Microsoft Embedded OpenType,application/vnd.ms-fontobject,.eot,IANA: MS Embedded OpenType
335,Microsoft Excel,application/vnd.ms-excel,.xls,IANA: MS Excel
336,Microsoft Excel - Add-In File,application/vnd.ms-excel.addin.macroenabled.12,.xlam,IANA: MS Excel
